strain	date		country	region	lineage	GRI.Lineage.Level.0	GRI.Lineage.Level.1	GRI.Lineage.Level.2	GRI.Lineage.Level.3	GRI.Lineage.Level.4	GRI.Lineage.Level.5	GRI.Lineage.Level.6	GRI.Lineage.Level.7	GRI.Lineage.Level.8	author	accession	old_date	decimal_date	latitude	longitude
MK286894.1	2017-12-31		India	SAs	IOL	B	B.7	B.7.1	B.7.1	B.7.1	B.7.1	B.7.1	B.7.1	B.7.1	More,A., Patil,J. and Newase,P.K.	NA	2017-12-31 (2017-06-11 - 2017-12-31)	2017.99726027397	22.3511148	78.6677428
MK286893.1	2017-12-31		India	SAs	IOL	B	B.7	B.7.1	B.7.1	B.7.1	B.7.1	B.7.1	B.7.1	B.7.1	More,A., Patil,J. and Newase,P.K.	NA	2017-12-31 (2017-08-27 - 2017-12-31)	2017.99726027397	22.3511148	78.6677428
MW042255.1	2019-06-01		India	SAs	IOL	B	B	B	B	B	B	B	B	B	Anukumar,B., Asia,D.T., Aishwarya,B., Jijo,K., Nikil,T.L., Sugunan,A.P., Sreelekha,K.P. and Kunjila,K.	NA	2019-06-01 (2019-06-01 - 2019-06-27)	2019.41369863014	22.3511148	78.6677428
LC664147.1	2019-04-07		Maldives	SAs	IOL	B	B.2	B.2	B.2	B.2	B.2	B.2	B.2	B.2	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-04-07	2019.26301369863	3.7203503	73.2244152
LC664153.1	2019-05-01		Maldives	SAs	IOL	B	B.2	B.2	B.2	B.2	B.2	B.2	B.2	B.2	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-05-01 (2019-05-01 - 2019-05-28)	2019.32876712329	3.7203503	73.2244152
LC664152.1	2019-05-19		Maldives	SAs	IOL	B	B.2	B.2	B.2	B.2	B.2	B.2	B.2	B.2	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-05-19	2019.37808219178	3.7203503	73.2244152
LC664151.1	2019-04-14		Maldives	SAs	IOL	B	B.2	B.2	B.2	B.2	B.2	B.2	B.2	B.2	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-04-14	2019.28219178082	3.7203503	73.2244152
LC664142.1	2019-03-31		Maldives	SAs	IOL	B	B.2	B.2	B.2	B.2	B.2	B.2	B.2	B.2	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-03-31	2019.24383561644	3.7203503	73.2244152
LC664141.1	2019-03-30		Maldives	SAs	IOL	B	B.2	B.2	B.2	B.2	B.2	B.2	B.2	B.2	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-03-30	2019.24109589041	3.7203503	73.2244152
LC664156.1	2019-08-02		Maldives	SAs	IOL	B	B.2	B.2	B.2	B.2	B.2	B.2	B.2	B.2	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-08-02	2019.58356164384	3.7203503	73.2244152
LC664143.1	2019-03-30		Maldives	SAs	IOL	B	B.2	B.2	B.2	B.2	B.2	B.2	B.2	B.2	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-03-30	2019.24109589041	3.7203503	73.2244152
LC664144.1	2019-04-24		Maldives	SAs	IOL	B	B.2	B.2.1	B.2.1	B.2.1	B.2.1	B.2.1	B.2.1	B.2.1	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-04-24	2019.3095890411	3.7203503	73.2244152
LC664145.1	2019-04-01		Maldives	SAs	IOL	B	B.2	B.2.1	B.2.1	B.2.1	B.2.1	B.2.1	B.2.1	B.2.1	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-04-01	2019.24657534247	3.7203503	73.2244152
LC664154.1	2019-05-04		Maldives	SAs	IOL	B	B.2	B.2.1	B.2.1	B.2.1	B.2.1	B.2.1	B.2.1	B.2.1	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-05-04 (2019-05-01 - 2019-05-31)	2019.33698630137	3.7203503	73.2244152
LC664149.1	2019-04-30		Maldives	SAs	IOL	B	B.2	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-04-30 (2019-04-04 - 2019-04-30)	2019.32602739726	3.7203503	73.2244152
LC664148.1	2019-04-04		Maldives	SAs	IOL	B	B.2	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-04-04	2019.25479452055	3.7203503	73.2244152
LC664150.1	2019-04-10		Maldives	SAs	IOL	B	B.2	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-04-10	2019.27123287671	3.7203503	73.2244152
LC664146.1	2019-04-03		Maldives	SAs	IOL	B	B.2	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-04-03	2019.25205479452	3.7203503	73.2244152
LC664155.1	2019-06-18		Maldives	SAs	IOL	B	B.2	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	B.2.0	Phadungsombat,J., Imad,H.A., Nakayama,E.E., Leaungwutiwong,P., Ramasoota,P., Nguitragool,W., Matsee,W., Piyaphanee,W. and Shioda,T.	NA	2019-06-18	2019.4602739726	3.7203503	73.2244152
MK473628.1	2016-10-13		India	SAs	IOL	B	B	B	B	B	B	B	B	B	Kafetzopoulou,L.E., Efthymiadis,K., Lewandowski,K., Crook,A., Carter,D., Osborne,J., Aarons,E., Hewson,R., Hiscox,J.A., Carroll,M.W., Vipond,R. and Pullan,S.T.	NA	2016-10-13	2016.78142076503	22.3511148	78.6677428
MG925665.1	2017-12-15		China	EAs	IOL	B	B	B	B	B	B	B	B	B	Xingle,L., Yi,L., Ruolin,W., Jia,S., Bianli,X. and Xueyong,H.	NA	2017-12-15	2017.95342465753	35.000074	104.999927
MK473627.1	2016-10-23		India	SAs	IOL	B	B	B	B	B	B	B	B	B	Kafetzopoulou,L.E., Efthymiadis,K., Lewandowski,K., Crook,A., Carter,D., Osborne,J., Aarons,E., Hewson,R., Hiscox,J.A., Carroll,M.W., Vipond,R. and Pullan,S.T.	NA	2016-10-23	2016.8087431694	22.3511148	78.6677428
MT526800.1	2017-12-13		Kenya	EAf	IOL	B	B	B	B	B	B	B	B	B	Nyamwaya,D.K., Otiende,M., Omuoyo,D.O., Githinji,G., Karanja,H.K., Gitonga,J.N., deLaurent,Z.R., Otieno,J.R., Sang,R., Kamau,E., Cheruiyot,S., Otieno,E., Agoti,C.N., Bejon,P., Mwangi,T. and Warimwe,G.M.	NA	2017-12-13	2017.94794520548	1.4419683	38.4313975
MT526801.1	2015-09-02		Kenya	EAf	IOL	B	B.5	B.5	B.5	B.5	B.5	B.5	B.5	B.5	Nyamwaya,D.K., Otiende,M., Omuoyo,D.O., Githinji,G., Karanja,H.K., Gitonga,J.N., deLaurent,Z.R., Otieno,J.R., Sang,R., Kamau,E., Cheruiyot,S., Otieno,E., Agoti,C.N., Bejon,P., Mwangi,T. and Warimwe,G.M.	NA	2015-09-02	2015.66849315069	1.4419683	38.4313975
MT526807.1	2016-01-26		Kenya	EAf	IOL	B	B.5	B.5	B.5	B.5	B.5	B.5	B.5	B.5	Nyamwaya,D.K., Otiende,M., Omuoyo,D.O., Githinji,G., Karanja,H.K., Gitonga,J.N., deLaurent,Z.R., Otieno,J.R., Sang,R., Kamau,E., Cheruiyot,S., Otieno,E., Agoti,C.N., Bejon,P., Mwangi,T. and Warimwe,G.M.	NA	2016-01-26	2016.06830601093	1.4419683	38.4313975
MT526803.1	2014-05-23		Kenya	EAf	IOL	B	B.5	B.5	B.5	B.5	B.5	B.5	B.5	B.5	Nyamwaya,D.K., Otiende,M., Omuoyo,D.O., Githinji,G., Karanja,H.K., Gitonga,J.N., deLaurent,Z.R., Otieno,J.R., Sang,R., Kamau,E., Cheruiyot,S., Otieno,E., Agoti,C.N., Bejon,P., Mwangi,T. and Warimwe,G.M.	NA	2014-05-23	2014.38904109589	1.4419683	38.4313975
MT526802.1	2014-08-20		Kenya	EAf	IOL	B	B.5	B.5	B.5	B.5	B.5	B.5	B.5	B.5	Nyamwaya,D.K., Otiende,M., Omuoyo,D.O., Githinji,G., Karanja,H.K., Gitonga,J.N., deLaurent,Z.R., Otieno,J.R., Sang,R., Kamau,E., Cheruiyot,S., Otieno,E., Agoti,C.N., Bejon,P., Mwangi,T. and Warimwe,G.M.	NA	2014-08-20	2014.63287671233	1.4419683	38.4313975
MT526799.1	2018-01-03		Kenya	EAf	IOL	B	B.5	B.5.0	B.5.0.1	B.5.0.1	B.5.0.1	B.5.0.1	B.5.0.1	B.5.0.1	Nyamwaya,D.K., Otiende,M., Omuoyo,D.O., Githinji,G., Karanja,H.K., Gitonga,J.N., deLaurent,Z.R., Otieno,J.R., Sang,R., Kamau,E., Cheruiyot,S., Otieno,E., Agoti,C.N., Bejon,P., Mwangi,T. and Warimwe,G.M.	NA	2018-01-03	2018.00547945205	1.4419683	38.4313975
MT526798.1	2018-01-12		Kenya	EAf	IOL	B	B.5	B.5.0	B.5.0.1	B.5.0.1	B.5.0.1	B.5.0.1	B.5.0.1	B.5.0.1	Nyamwaya,D.K., Otiende,M., Omuoyo,D.O., Githinji,G., Karanja,H.K., Gitonga,J.N., deLaurent,Z.R., Otieno,J.R., Sang,R., Kamau,E., Cheruiyot,S., Otieno,E., Agoti,C.N., Bejon,P., Mwangi,T. and Warimwe,G.M.	NA	2018-01-12	2018.0301369863	1.4419683	38.4313975
MT526805.1	2017-07-19		Kenya	EAf	IOL	B	B.5	B.5.0	B.5.0	B.5.0	B.5.0	B.5.0	B.5.0	B.5.0	Nyamwaya,D.K., Otiende,M., Omuoyo,D.O., Githinji,G., Karanja,H.K., Gitonga,J.N., deLaurent,Z.R., Otieno,J.R., Sang,R., Kamau,E., Cheruiyot,S., Otieno,E., Agoti,C.N., Bejon,P., Mwangi,T. and Warimwe,G.M.	NA	2017-07-19	2017.54520547945	1.4419683	38.4313975
MT526804.1	2017-12-05		Kenya	EAf	IOL	B	B.5	B.5.0	B.5.0.0	B.5.0.0	B.5.0.0	B.5.0.0	B.5.0.0	B.5.0.0	Nyamwaya,D.K., Otiende,M., Omuoyo,D.O., Githinji,G., Karanja,H.K., Gitonga,J.N., deLaurent,Z.R., Otieno,J.R., Sang,R., Kamau,E., Cheruiyot,S., Otieno,E., Agoti,C.N., Bejon,P., Mwangi,T. and Warimwe,G.M.	NA	2017-12-05	2017.92602739726	1.4419683	38.4313975
MT526806.1	2017-04-03		Kenya	EAf	IOL	B	B.5	B.5.0	B.5.0.0	B.5.0.0	B.5.0.0	B.5.0.0	B.5.0.0	B.5.0.0	Nyamwaya,D.K., Otiende,M., Omuoyo,D.O., Githinji,G., Karanja,H.K., Gitonga,J.N., deLaurent,Z.R., Otieno,J.R., Sang,R., Kamau,E., Cheruiyot,S., Otieno,E., Agoti,C.N., Bejon,P., Mwangi,T. and Warimwe,G.M.	NA	2017-04-03	2017.25205479452	1.4419683	38.4313975
MT380161.1	2017-12-01		Kenya	EAf	IOL	B	B	B	B	B	B	B	B	B	Eyase,F., Langat,S., Berry,I.M., Mulwa,F., Nyunja,A., Mutisya,J., Owaka,S., Limbaso,S., Ofula,V., Koka,H., Koskei,E., Lutomiah,J., Jarman,R.G. and Sang,R.	NA	2017-12-01 (2017-12-01 - 2017-12-28)	2017.91506849315	1.4419683	38.4313975
MT526796.1	2018-01-15		Kenya	EAf	IOL	B	B	B	B	B	B	B	B	B	Nyamwaya,D.K., Otiende,M., Omuoyo,D.O., Githinji,G., Karanja,H.K., Gitonga,J.N., deLaurent,Z.R., Otieno,J.R., Sang,R., Kamau,E., Cheruiyot,S., Otieno,E., Agoti,C.N., Bejon,P., Mwangi,T. and Warimwe,G.M.	NA	2018-01-15	2018.03835616438	1.4419683	38.4313975
MW161379.1	2018-10-01		Sudan	EAf	IOL	B	B	B	B	B	B	B	B	B	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-01 (2018-10-01 - 2018-10-28)	2018.74794520548	14.5844444	29.4917691
MW161409.1	2018-10-01		Sudan	EAf	IOL	B	B	B	B	B	B	B	B	B	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-01 (2018-10-01 - 2018-10-28)	2018.74794520548	14.5844444	29.4917691
MK163628.1	2018-10-01		Sudan	EAf	IOL	B	B.1	B.1	B.1	B.1	B.1	B.1	B.1	B.1	Carter,D.P., Furneaux,J., Small,J., Griffiths,K., Osborne,J., Petridou,C., Herdman,T., Vipond,R., Herbert,R., Aarons,E., Brooks,T. and Pullan,S.T.	NA	2018-10-01 (2018-10-01 - 2018-10-28)	2018.74794520548	14.5844444	29.4917691
MW161419.1	2018-10-01		Sudan	EAf	IOL	B	B.1	B.1	B.1	B.1	B.1	B.1	B.1	B.1	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-01 (2018-10-01 - 2018-10-28)	2018.74794520548	14.5844444	29.4917691
MW161421.1	2018-10-01		Sudan	EAf	IOL	B	B.1	B.1	B.1	B.1	B.1	B.1	B.1	B.1	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-01 (2018-10-01 - 2018-10-28)	2018.74794520548	14.5844444	29.4917691
MW161383.1	2018-10-08		Sudan	EAf	IOL	B	B.1	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-08 (2018-10-01 - 2018-10-31)	2018.76712328767	14.5844444	29.4917691
MW161403.1	2018-10-08		Sudan	EAf	IOL	B	B.1	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-08 (2018-10-01 - 2018-10-31)	2018.76712328767	14.5844444	29.4917691
MW161366.1	2018-10-31		Sudan	EAf	IOL	B	B.1	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-31 (2018-10-04 - 2018-10-31)	2018.8301369863	14.5844444	29.4917691
MW161407.1	2018-10-01		Sudan	EAf	IOL	B	B.1	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-01 (2018-10-01 - 2018-10-28)	2018.74794520548	14.5844444	29.4917691
MW161410.1	2018-10-31		Sudan	EAf	IOL	B	B.1	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	B.1.4	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-31 (2018-10-04 - 2018-10-31)	2018.8301369863	14.5844444	29.4917691
MW161365.1	2018-10-01		Sudan	EAf	IOL	B	B.1	B.1.3	B.1.3	B.1.3	B.1.3	B.1.3	B.1.3	B.1.3	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-01 (2018-10-01 - 2018-10-28)	2018.74794520548	14.5844444	29.4917691
MW161418.1	2018-10-01		Sudan	EAf	IOL	B	B.1	B.1.3	B.1.3	B.1.3	B.1.3	B.1.3	B.1.3	B.1.3	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-01 (2018-10-01 - 2018-10-28)	2018.74794520548	14.5844444	29.4917691
MW161406.1	2018-10-01		Sudan	EAf	IOL	B	B.1	B.1.3	B.1.3	B.1.3	B.1.3	B.1.3	B.1.3	B.1.3	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-01 (2018-10-01 - 2018-10-28)	2018.74794520548	14.5844444	29.4917691
MW161385.1	2018-10-01		Sudan	EAf	IOL	B	B.1	B.1.3	B.1.3	B.1.3	B.1.3	B.1.3	B.1.3	B.1.3	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-01 (2018-10-01 - 2018-10-28)	2018.74794520548	14.5844444	29.4917691
MW161367.1	2018-10-31		Sudan	EAf	IOL	B	B.1	B.1.3	B.1.3.0	B.1.3.0	B.1.3.0	B.1.3.0	B.1.3.0	B.1.3.0	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-31 (2018-10-04 - 2018-10-31)	2018.8301369863	14.5844444	29.4917691
MW161388.1	2018-10-31		Sudan	EAf	IOL	B	B.1	B.1.3	B.1.3.0	B.1.3.0	B.1.3.0	B.1.3.0	B.1.3.0	B.1.3.0	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-31 (2018-10-05 - 2018-10-31)	2018.8301369863	14.5844444	29.4917691
MW161375.1	2018-10-01		Sudan	EAf	IOL	B	B.1	B.1	B.1	B.1	B.1	B.1	B.1	B.1	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-01 (2018-10-01 - 2018-10-28)	2018.74794520548	14.5844444	29.4917691
MW161391.1	2018-10-31		Sudan	EAf	IOL	B	B.1	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-31 (2018-10-14 - 2018-10-31)	2018.8301369863	14.5844444	29.4917691
MW161434.1	2018-10-06		Sudan	EAf	IOL	B	B.1	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-06 (2018-10-01 - 2018-10-31)	2018.76164383562	14.5844444	29.4917691
MW161432.1	2018-10-06		Sudan	EAf	IOL	B	B.1	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-06 (2018-10-01 - 2018-10-31)	2018.76164383562	14.5844444	29.4917691
MW161389.1	2018-10-06		Sudan	EAf	IOL	B	B.1	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-06 (2018-10-01 - 2018-10-31)	2018.76164383562	14.5844444	29.4917691
MW161442.1	2018-10-06		Sudan	EAf	IOL	B	B.1	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	B.1.2	Bower,H., El Karsany,M., Adam,A.A.A.H., Idriss,M.I., Alzain,M.A., Alfakiyousif,M.E.A., Mohamed,R., Mahmoud,I., Albadri,O., Mahmoud,S.A.A., Abdalla,O.I., Eldigail,M., Elagib,N., Arnold,U., Gutierrez,B., Pybus,O.G., Carter,D.P., Pullan,S.T., Jacob,S.T., Abdallah,T.M., Gannon,B. and Fletcher,T.E.	NA	2018-10-06 (2018-10-01 - 2018-10-31)	2018.76164383562	14.5844444	29.4917691
